Datum;Gewicht
13.04.2019;159,6
14.04.2019;158,4
15.04.2019;157,8
16.04.2019;157,4
17.04.2019;156,7
18.04.2019;156,1
19.04.2019;155,5
20.04.2019;156,6
21.04.2019;156
22.04.2019;154,4
23.04.2019;155,9
24.04.2019;155,1
25.04.2019;154,8
26.04.2019;154,3
27.04.2019;154,2
28.04.2019;153,7
29.04.2019;154,1
30.04.2019;153,8
01.05.2019;153
02.05.2019;153,7
03.05.2019;153,6
04.05.2019;153,2
05.05.2019;152,6
06.05.2019;152,5
07.05.2019;152
08.05.2019;151,5
09.05.2019;153,1
10.05.2019;153
11.05.2019;152,5
12.05.2019;151,8
13.05.2019;151,6
14.05.2019;151,1
15.05.2019;151,2
16.05.2019;150,9
17.05.2019;150,6
18.05.2019;150
19.05.2019;150,3
20.05.2019;150,2
21.05.2019;150
22.05.2019;150,2
23.05.2019;149,8
24.05.2019;149,6
25.05.2019;149,9
